5	0.69	0.70	0.8253	1.71	1	1	4.92	1	2	0.04160784
6	0.83	0.79	0.847	1.67	1	0.96	4.76	0	2	0.013781821
0	0.66	0.62	0.847	1.67	1	0.96	4.76	1	2	0.027071177
1	0.71	0.68	0.8492	1.6	1	0.88	4.8	0	2	0.032107704
4	0.58	0.58	0.8571	1.9	1	0.96	4.8	1	2	0.03740784
2	0.70	0.67	0.8636	0.84	1	1	4.84	1	2	0.019249122
0	0.92	0.89	0.8638	1.88	1	1	4.52	0	2	0.026034993
3	0.55	0.52	0.8665	1.89	1	1	4.76	1	2	0.008681007
1	0.75	0.74	0.8746	1.5	1	1	4.8	0	2	0.014275826
5	0.96	0.93	0.8893	1.37	1	0.96	4.72	0	2	0.012443202
1	0.46	0.45	0.9062	1.89	1	0.96	4.68	0	2	0.038959261
6	0.75	0.72	0.9529	1.47	1	0.92	4.76	0	2	0.052207483
6	0.71	0.69	0.8213	1.64	2	1	4.92	0	2	0.043649851
1	0.88	0.88	0.8231	1.58	2	1	4.84	0	2	0.116650352
4	0.80	0.78	0.8665	1.89	2	1	4.76	1	2	0.04083519
3	0.38	0.35	0.8681	1.27	2	0.88	4.84	0	2	0.008802541
4	0.78	0.77	0.8787	1.64	2	1	4.44	1	2	0.017536311
0	0.94	0.92	0.8885	1.83	2	0.92	4.92	1	2	0.001507259
4	0.78	0.78	0.9033	1.25	2	1	4.8	1	2	0.048062388
5	0.75	0.75	0.6825	1.85	3	1	4.96	0	2	0.045127179
4	0.61	0.58	0.7438	1.95	3	1	4.52	1	2	0.022150007
5	0.87	0.83	0.8289	1.5	3	0.96	4.68	1	2	0.012395674
0	0.87	0.84	0.8443	1.76	3	1	4.96	1	2	0.007830931
6	0.54	0.51	0.8473	1.81	3	1	4.76	0	2	0.065379333
1	0.46	0.43	0.8564	1.56	3	1	4.68	0	2	0.038047918
1	0.82	0.80	0.8606	1.57	3	1	4.64	1	2	0.024342707
2	0.79	0.74	0.8606	1.57	3	1	4.64	0	2	0.013610953
1	0.72	0.71	0.8692	1.64	3	0.92	4.92	1	2	0.026764422
2	0.54	0.48	0.878	1.54	3	1	4.84	0	2	0.007404324
2	0.71	0.68	0.878	1.54	3	1	4.84	0	2	0.035405534
5	0.54	0.52	0.8797	1.92	3	1	4.88	1	2	0.043886521
4	0.81	0.80	0.8921	1.67	3	1	4.96	1	2	0.042203455
3	0.54	0.51	0.8949	1.9	3	0.92	4.76	0	2	0.043076593
4	0.46	0.44	0.8577	1.26	3.1	1	4.88	0	2	0.041828347
6	0.92	0.90	0.6825	1.85	4	1	4.96	0	2	0.043708192
